Page URL,Actor Name,Image URL,,Trademark,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Hrithik Roshan,"https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Amjad Khan,"https://m.media-amazon.com/images/M/MV5BOWUzNjU3YTUtOGIyMi00MDk3LTk1NDMtMzY4MDZlNDFhNTFhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR110,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Mohanlal,"https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Mammootty,"https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Jimmy Sheirgill,"https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Gurpreet Ghuggi,"https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kay Kay Menon,"https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Govinda,"https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY317_CR21,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Mithun Chakraborty,"https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",,null,
"https://www.imdb.com/list/ls068010962/?sort=list_order,asc&mode=grid&page=1&ref_=nmls_vw_grd",Kajol,"https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY317_CR5,0,214,317_AL__QL50.jpg",,"Trademark:
    Her uni-brow",
